Id,Name,Mobile No,Email,Address,Gender,DOB,Added Date,Added Time
1,sanjay,9814657177,sanjaydahal765@gmail.com,Kathmandu,male,18/09/2055,25/06/2020,17:23:27
2,Kamal  ,9876162626,kamal@gmail.com,Nepal,male,2054,27/06/2020,13:59:27
3,sandhya,98123456,san@gmail.com,Nepal,female,27/04/2061,25/06/2020,17:51:59
5,sujan,893479,sujan@gmail.com,Nepal,male,01/01/2058,25/06/2020,17:52:45
6,hello,hello,hello,hello,male,hello,25/06/2020,19:12:29
7,sanjay,9812354,sanjay@gmail.com,Nepal,male,2055,25/06/2020,19:16:53
8,mr.x,91877216,mrx@gmail.com,Dhangadi,male,2014,25/06/2020,19:18:34
9,Ajay,98392839,ajay@gmail.com,Nepal,male,2048,27/06/2020,15:03:57
12,Bijay,98392839,bijay@gmail.com,Nepal,male,2048,27/06/2020,14:04:11
13,dahal,mra,mra,mra,female,mra,25/06/2020,19:33:37
21,Ramit ,987612345,ramit@gmail.com,America,male,2045,28/06/2020,15:13:51
